caption,username,fullname,shortcode,timestamp,imgUrl,likeCount,likeRatio,commentCount,commentRatio,isVideo,isAd,hashtags
Should we bring this oxtail Alfredo back next Thursday?  #oxtail #pasta #love #foodies #crayway #foodporn #food #kitchebcray,kitchencraycafe,Kitchencray Cafe,B43NvmJArmX,1573770758,https://scontent-lax3-1.cdninstagram.com/vp/c20c6f168404a0bd02de92b5881cc687/5E8986F6/t51.2885-15/e35/s1080x1080/75214727_571269867011740_8927103007733548608_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,2467,0.029353322624784343,120,0.0014278065322148848,False,False,"['love', 'crayway', 'food', 'oxtail', 'foodporn', 'kitchebcray', 'pasta', 'foodies']"
"Cajun Shrimp Tomato Alfredo Pasta 🍝 via @jocooks
.
.
.
.
#surfnoturf #tastethisnext #seafood #pescatarian #buzzfeast #yum #shrimp #feedyoursoul #9gag #lunch #zagat #cheatmeal #cheatday #dinner #food #yummy #complex #eeeeeats #tasty #pasta #foodie #eat #foodpics #foodphotography #hungry #lovefood",surfnoturf,Surf No Turf (Seafood Media),B43QIb0jisV,1573772010,https://scontent-lax3-1.cdninstagram.com/vp/027fcc93e3a5cb61d09f4ddb38e29728/5E45A08C/t51.2885-15/e35/77142115_187946632244896_7212567469376681102_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,3618,0.01575928111891767,21,9.147178095557521e-05,False,False,"['yum', 'eat', 'dinner', 'surfnoturf', 'eeeeeats', 'foodphotography', 'buzzfeast', 'shrimp', 'cheatday', 'foodie', 'yummy', 'lovefood', 'food', 'tasty', 'pasta', 'seafood', 'complex', 'cheatmeal', 'lunch', '9gag', 'foodpics', 'tastethisnext', 'hungry', 'feedyoursoul', 'pescatarian', 'zagat']"
"Pamplona de Nalga 🔥 Rellena con champiñones, cebolla de Verdeo, queso parmesano, ajo, aji molido; pimienta, comino, sal.. envuelta en Panceta Ahumada y cocinada a la parrilla con papel de aluminio los primeros 40’ después directo a la parrilla solo para dorar la Panceta...Una bomba de tiempo, exquisita... lo corte en rollos para ir picando!!! Salute 🍷
.
.
.
#elmagococina #comidarica #asado #parrilla #asadoresargentinos #wine #beer #comida #asador #food #meat #steak #bbq #foodlover #instafood #parrillero #bbqlover #meatlover #eat #asadoargentino #foodporn #grill #barbacue #foodlover #overthefirecooking",elmagococina,El Mago Cocina,B43OvZTluwf,1573771299,https://scontent-lax3-1.cdninstagram.com/vp/7e3a79e27244e0a8857391f081ce94a1/5DD0221E/t51.2885-15/e35/70538708_414610762511798_3360238043067151580_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,3287,0.020418685551000123,89,0.0005528637097776121,False,False,[]
"Words can’t describe my fillings for this Chinese buffet in downtown Cleveland.
(If you go, the chili oil is for some reason located by the dessert bar.) + you won’t spend more than 8 dollars!! 🤑",foodsofjane,Janey Schafer,B43c-JopXQU,1573778742,https://scontent-lax3-1.cdninstagram.com/vp/cda1ccecc0462ab7a9314a28e5abefac/5E8948DB/t51.2885-15/e35/p1080x1080/75272175_170961977436653_969781767890302568_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,1794,0.016513102788081848,24,0.00022091107408805146,False,False,[]
"🍔 via @burgerpointofficial
.
.
.
.
#tastethisnext #foodandwine #feedfeed #buzzfeast #yum #feedyoursoul #9gag #burger #lunch #zagat #cheatmeal #cheeseburger #cheatday #dinner #food #yummy #complex #eeeeeats #tasty #foodie #eat #foodpics #cheese #foodphotography #hungry #lovefood",tastethisnext,"#TasteThisNext , Food Media",B43Uey8DWiJ,1573774291,https://scontent-lax3-1.cdninstagram.com/vp/2a3851239fdb5d14300d8794a6502af1/5E4E6620/t51.2885-15/e35/75207304_2624215617663260_1864591733712127357_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,1264,0.0035581979303899378,14,3.9410420115078424e-05,False,False,"['feedyoursoul', 'yum', 'cheese', 'food', '9gag', 'buzzfeast', 'foodpics', 'dinner', 'zagat', 'complex', 'foodandwine', 'eeeeeats', 'cheeseburger', 'burger', 'tastethisnext', 'hungry', 'tasty', 'cheatmeal', 'cheatday', 'foodphotography', 'lovefood', 'feedfeed', 'yummy', 'eat', 'lunch', 'foodie']"
"NEED 🍩🍩🍩 Credit: @raveneatsny #LongIsland_Eats
🍴
#Donut #Doughnut #Dessert #Food #LongIsland #Yum #InstaFood #Yummy #Tasty #Foodie #Delish #Delicious #Eating #FoodPic #FoodPics #Eat #Hungry #Foodgasm #Foodiegram #EatingForTheInsta #FoodAndDrink #FoodBlogger #FoodBlogFeed",li_eats,LONG ISLAND EATS,B43abxRAFUV,1573777412,https://scontent-lax3-1.cdninstagram.com/vp/ee9670e8f0b5a355fac35c5e1e80efd5/5E59E59E/t51.2885-15/e35/s1080x1080/76969126_2414021172143874_4002347755738170435_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=106,568,0.013769029380393679,13,0.0003151362358188694,False,False,"['longisland', 'foodanddrink', 'dessert', 'doughnut', 'foodiegram', 'eatingfortheinsta', 'foodblogfeed', 'delicious', 'tasty', 'eating', 'foodpics', 'foodblogger', 'foodpic', 'food', 'yummy', 'delish', 'foodie', 'longisland_eats', 'eat', 'foodgasm', 'donut', 'hungry', 'yum', 'instafood']"
"Especially beautiful and excellent daily sundaes today at @caffepanna (especially Grapenut Peanut Butter)
#👶🏽🍦 👌🏽👌🏽👌🏽
#foodbabylovescaffepanna",foodbabyny,Food Baby,B43ToYhnQ0Z,1573773845,https://scontent-lax3-1.cdninstagram.com/vp/df6f3cc3d0d6ddb6c693565d844fa944/5E679FB6/t51.2885-15/e35/p1080x1080/75081159_1033499273659414_1796257772111298358_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,1963,0.0060838033843674455,21,6.50839893386227e-05,False,False,"['👶🏽🍦', 'foodbabylovescaffepanna']"
"How do you feel about LOADED fries? 😍🍟 🎥: @tomsbigeats
➖➖➖➖➖➖➖➖➖➖➖
Follow 👉🏽 @mealbae 
Follow 👉🏽 @mealbae
Follow 👉🏽 #mealbae
➖➖➖➖➖➖➖➖➖➖➖
💦 Like 10 Posts
💦 Double Tap If You'd Eat This
💦 Turn On Post Notifications To See New Content ASAP
➖➖➖➖➖➖➖➖➖➖➖
🎥 All rights and credits reserved to the respective owner(s)",mealbae,Mouthwatering Food Daily 🌭🌯🍟🍕🌮,B43YJ1EHcr9,1573776216,https://scontent-lax3-1.cdninstagram.com/vp/7bb6817a3ba152bbb29ec85397848c95/5E53F4C4/t51.2885-15/e35/73387421_726037651195729_923815933854477899_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=101,1287,0.004775722852223475,28,0.00010390073027370421,False,False,['mealbae']
"Sweet Potato Platter 🙌🏻 Is it acceptable to just eat this for dinner? 😜 I mean, it has 3 different dips so that basically covers all the food bases.... right? Made this to enjoy while we watch some football tonight because I always have to have snacks in front of me 🤷🏼‍♀️ Snacks that are centered around dips are my personal favorite, but I don’t get too picky haha. I cut the sweet potatoes into different shapes just for fun because it keeps things interesting and it’s no extra work. Perfect little appetizer for Sundays watching football 🏈 or bachelor Monday’s which sadly aren’t a thing rn 🙄 which dip would be your fav?! I’m an avocado gal thru and thru 🙌🏻 -
-
recipe details 👉🏻 4 small sweet potatoes sliced into chips and fries and coated with 2 tbsp of avocado oil (can use any oil) and sprinkled with pink Himalayan salt and pepper. Kept the flavor simple so I could have more flavor in the dips. Baked at 425F for 35 mins. Paired with @traderjoes everything but the bagel dip (soooo good) + mashed avocado + @aldiusa salsa 
_ 📸 @choosing_balance 
_____________________

#meal #spinach #healthyfood #food #green #mealprep #dinner #tasty #oat#yummy #avocado #yummy #recipes #health#fit#delicious #calories #healthylifestyle#fit #fit#calcium #milk #potatoes #rice",caloriesmix,Daily Nutrition Fact,B43kMiYlrQv,1573782530,https://scontent-lax3-1.cdninstagram.com/vp/5e961bb77955d0e85e8d1dc3967c44b4/5E4C366F/t51.2885-15/e35/73036930_159964825097203_8864278310452926985_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=107,319,0.0004667092898557298,5,7.315192630967551e-06,False,False,"['potatoes', 'dinner', 'health', 'calories', 'healthyfood', 'avocado', 'oat', 'spinach', 'mealprep', 'green', 'yummy', 'food', 'calcium', 'delicious', 'rice', 'meal', 'healthylifestyle', 'fit', 'tasty', 'recipes', 'milk']"
"Especially beautiful and excellent daily sundaes today at @caffepanna (especially Grapenut Peanut Butter)
#👶🏽🍦 👌🏽👌🏽👌🏽
#foodbabylovescaffepanna",foodbabyny,Food Baby,B43ToYhnQ0Z,1573773845,https://scontent-lax3-1.cdninstagram.com/vp/df6f3cc3d0d6ddb6c693565d844fa944/5E679FB6/t51.2885-15/e35/p1080x1080/75081159_1033499273659414_1796257772111298358_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,1963,0.0060838033843674455,21,6.50839893386227e-05,False,False,"['foodbabylovescaffepanna', '👶🏽🍦']"
